user_id,tier,usage_rate,condition,copay_usd,min_spend_usd,voucher_count,ordered,profit
0,90-99,0.9336,s19_m199_c3,19.0,199.0,3,0,0.0
1,30-69,0.3373,s0_m249_c3,0.0,249.0,3,0,0.0
2,100,1.0,s0_m249_c3,0.0,249.0,3,0,0.0
3,80-89,0.8572,s9_m249_c3,9.0,249.0,3,0,0.0
4,0-29,0.1171,no_voucher,0.0,0.0,0,0,0.0
5,100,1.0,s19_m199_c1,19.0,199.0,1,1,0.5047
6,80-89,0.8309,s0_m299_c3,0.0,299.0,3,0,0.0
7,90-99,0.9432,s19_m199_c1,19.0,199.0,1,0,0.0
8,0-29,0.1136,s0_m249_c3,0.0,249.0,3,0,0.0
9,30-69,0.6146,s0_m199_c1,0.0,199.0,1,1,1.5902
10,0-29,0.2517,s0_m199_c1,0.0,199.0,1,1,2.0228
11,100,1.0,s0_m299_c3,0.0,299.0,3,1,0.9083
12,70-79,0.7042,s19_m199_c3,19.0,199.0,3,0,0.0
13,100,1.0,s19_m199_c3,19.0,199.0,3,0,0.0
14,30-69,0.6576,s19_m199_c3,19.0,199.0,3,1,1.0039
15,0-29,0.1675,no_voucher,0.0,0.0,0,0,0.0
16,30-69,0.5147,s19_m199_c1,19.0,199.0,1,0,0.0
17,0-29,0.2204,no_voucher,0.0,0.0,0,0,0.0
18,100,1.0,s19_m199_c3,19.0,199.0,3,0,0.0
19,70-79,0.7666,no_voucher,0.0,0.0,0,0,0.0
20,80-89,0.8139,s0_m299_c3,0.0,299.0,3,0,0.0
21,0-29,0.1133,s0_m299_c3,0.0,299.0,3,0,0.0
22,100,1.0,s19_m199_c3,19.0,199.0,3,0,0.0
23,100,1.0,no_voucher,0.0,0.0,0,0,0.0
24,90-99,0.9334,s19_m199_c1,19.0,199.0,1,0,0.0
25,0-29,0.073,s0_m249_c3,0.0,249.0,3,0,0.0
26,30-69,0.3406,s0_m249_c3,0.0,249.0,3,0,0.0
27,0-29,0.2077,s19_m199_c1,19.0,199.0,1,0,0.0
28,0-29,0.1354,s0_m199_c1,0.0,199.0,1,0,0.0
29,70-79,0.7681,s0_m299_c3,0.0,299.0,3,0,0.0
30,80-89,0.8718,s9_m249_c3,9.0,249.0,3,0,0.0
31,100,1.0,s0_m249_c3,0.0,249.0,3,0,0.0
32,0-29,0.1817,s0_m199_c1,0.0,199.0,1,0,0.0
33,0-29,0.1905,s9_m249_c3,9.0,249.0,3,0,0.0
34,30-69,0.5694,s19_m199_c3,19.0,199.0,3,0,0.0
35,0-29,0.0146,s19_m199_c3,19.0,199.0,3,0,0.0
36,0-29,0.1671,s19_m199_c1,19.0,199.0,1,0,0.0
37,30-69,0.3386,no_voucher,0.0,0.0,0,0,0.0
38,0-29,0.2418,s19_m199_c1,19.0,199.0,1,0,0.0
39,70-79,0.7698,s9_m249_c3,9.0,249.0,3,0,0.0
40,30-69,0.5747,s19_m199_c3,19.0,199.0,3,0,0.0
41,100,1.0,no_voucher,0.0,0.0,0,0,0.0
42,80-89,0.8118,no_voucher,0.0,0.0,0,0,0.0
43,0-29,0.1749,s0_m299_c3,0.0,299.0,3,0,0.0
44,100,1.0,s0_m199_c1,0.0,199.0,1,0,0.0
45,100,1.0,s19_m199_c3,19.0,199.0,3,0,0.0
46,0-29,0.1387,s0_m299_c3,0.0,299.0,3,0,0.0
47,0-29,0.2398,s9_m249_c3,9.0,249.0,3,0,0.0
48,70-79,0.7746,s9_m249_c3,9.0,249.0,3,0,0.0
49,0-29,0.1501,s0_m199_c1,0.0,199.0,1,0,0.0
50,0-29,0.0986,no_voucher,0.0,0.0,0,0,0.0
51,0-29,0.0463,s19_m199_c1,19.0,199.0,1,1,1.297
52,90-99,0.9615,s9_m249_c3,9.0,249.0,3,0,0.0
53,70-79,0.726,s0_m299_c3,0.0,299.0,3,0,0.0
54,80-89,0.8477,no_voucher,0.0,0.0,0,0,0.0
55,90-99,0.9372,s19_m199_c1,19.0,199.0,1,0,0.0
